filename,width,height,class,xmin,ymin,xmax,ymax
ti01410757.jpg,224,224,table,106,16,201,148
ti01410757.jpg,224,224,table,86,16,106,106
ti01410757.jpg,224,224,text,108,135,112,144
ti01410757.jpg,224,224,text,82,82,111,95
ti01410757.jpg,224,224,text,108,27,112,36
ti01410757.jpg,224,224,text,194,67,200,89
ti10161372.jpg,224,224,table,9,79,202,211
ti10161372.jpg,224,224,text,30,90,157,103
ti10161372.jpg,224,224,text,31,109,154,120
ti10161372.jpg,224,224,text,169,111,191,114
ti10161372.jpg,224,224,text,31,117,155,140
ti10161372.jpg,224,224,text,168,136,190,139
ti10161372.jpg,224,224,text,31,145,152,150
ti10161372.jpg,224,224,text,31,154,143,164
ti10161404.jpg,224,224,table,9,76,202,211
ti10161404.jpg,224,224,logo,13,26,94,41
ti10161422.jpg,224,224,table,36,59,171,124
ti10161433.jpg,224,224,logo,23,22,74,30
ti10161433.jpg,224,224,text,22,48,89,63
ti10161457.jpg,224,224,logo,12,28,69,38
ti10161457.jpg,224,224,table,9,79,199,214
ti10161457.jpg,224,224,text,34,134,157,165
ti10161457.jpg,224,224,text,15,106,22,110
ti10161457.jpg,224,224,text,15,120,20,172
ti10161457.jpg,224,224,text,15,133,24,137
ti10161457.jpg,224,224,text,36,91,154,98
ti10161457.jpg,224,224,text,35,112,155,131
ti10161457.jpg,224,224,text,35,172,156,182
ti10161484.jpg,224,224,table,9,82,212,215
ti10161484.jpg,224,224,logo,11,29,93,43
ti10161491.jpg,224,224,logo,64,34,149,42
ti10161491.jpg,224,224,table,9,89,204,213
ti10161592.jpg,224,224,table,20,43,81,191
ti10161592.jpg,224,224,text,26,168,31,181
ti10161630.jpg,224,224,table,19,100,191,165
ti10161630.jpg,224,224,text,20,120,137,132
ti10161630.jpg,224,224,text,20,140,65,147
ti10161630.jpg,224,224,text,154,122,179,132
ti10161630.jpg,224,224,text,152,150,180,153
ti10161631.jpg,224,224,table,21,109,199,169
ti11121470.jpg,224,224,table,15,65,201,181
ti11492017.jpg,224,224,table,26,57,167,121
ti11492017.jpg,224,224,text,37,73,123,82
ti11492017.jpg,224,224,text,150,66,165,70
ti11492017.jpg,224,224,text,107,116,166,121
ti11492017.jpg,224,224,text,36,100,102,111
ti11492017.jpg,224,224,text,107,116,166,121
ti11492017.jpg,224,224,text,36,100,102,111
ti11492270.jpg,224,224,text,24,86,128,146
ti11492270.jpg,224,224,text,12,62,100,75
ti11492276_2278.jpg,224,224,table,6,38,206,216
ti11492276_2278.jpg,224,224,text,28,100,123,164
ti11492276_2278.jpg,224,224,text,8,74,95,87
ti11492276_2278.jpg,224,224,text,152,41,178,46
ti11492288_2290.jpg,224,224,table,11,37,207,213
ti11492288_2290.jpg,224,224,text,15,73,97,85
ti11492288_2290.jpg,224,224,text,34,99,124,160
ti11492288_2290.jpg,224,224,text,14,179,79,185
ti11492291_2293.jpg,224,224,table,5,40,204,216
ti11492291_2293.jpg,224,224,text,28,102,123,165
ti11492291_2293.jpg,224,224,text,9,76,95,88
ti11492305_2306.jpg,224,224,table,7,26,206,213
ti11492316_2318.jpg,224,224,table,7,30,206,215
ti11492407_2408.jpg,224,224,table,7,29,201,214
ti11492415_2417.jpg,224,224,table,7,36,205,215
ti11492427_2429.jpg,224,224,table,6,41,206,215
ti11492427_2429.jpg,224,224,text,28,103,124,166
ti11492443_2445.jpg,224,224,table,6,28,204,213
ti11492443_2445.jpg,224,224,text,28,90,124,153
ti11492443_2445.jpg,224,224,text,7,62,101,75
ti11492443_2445.jpg,224,224,text,41,80,113,85
ti11492443_2445.jpg,224,224,text,133,78,150,84
ti11492443_2445.jpg,224,224,text,7,44,78,71
ti11492443_2445.jpg,224,224,text,145,29,180,35
ti11492446_2448.jpg,224,224,table,9,29,204,215
ti11492446_2448.jpg,224,224,text,40,80,86,86
ti11492446_2448.jpg,224,224,text,31,90,125,153
ti11492446_2448.jpg,224,224,text,153,78,163,86
ti11492446_2448.jpg,224,224,text,184,42,205,46
ti11492446_2448.jpg,224,224,text,10,81,23,84
ti11492446_2448.jpg,224,224,text,40,80,86,86
ti11492446_2448.jpg,224,224,text,146,29,178,37
ti11492446_2448.jpg,224,224,text,12,65,98,77
ti11492452_2454.jpg,224,224,table,11,32,204,215
ti11492452_2454.jpg,224,224,text,31,93,126,156
ti11492452_2454.jpg,224,224,text,43,82,114,88
ti11492458_2460.jpg,224,224,table,7,29,202,215
ti11492458_2460.jpg,224,224,text,29,87,124,150
ti11492458_2460.jpg,224,224,text,41,80,85,85
ti11492458_2460.jpg,224,224,text,8,62,100,77
ti11492458_2460.jpg,224,224,text,96,185,195,190
ti11492458_2460.jpg,224,224,text,184,178,205,182
ti11492458_2460.jpg,224,224,text,167,178,178,181
ti11492458_2460.jpg,224,224,text,133,80,150,85
ti11492458_2460.jpg,224,224,text,154,79,164,86
ti11492458_2460.jpg,224,224,text,8,80,21,83
ti11492458_2460.jpg,224,224,text,14,45,77,48
ti11492463_2465.jpg,224,224,table,8,30,200,213
ti11492463_2465.jpg,224,224,text,29,91,122,154
ti11492463_2465.jpg,224,224,text,40,79,112,88
ti11492463_2465.jpg,224,224,text,131,81,150,86
ti11492463_2465.jpg,224,224,text,10,63,104,78
ti11492463_2465.jpg,224,224,text,96,184,193,190
ti11492463_2465.jpg,224,224,text,95,191,147,195
ti11492463_2465.jpg,224,224,text,184,177,204,182
ti11492463_2465.jpg,224,224,text,151,78,162,87
ti11492463_2465.jpg,224,224,text,12,47,78,50
ti11492463_2465.jpg,224,224,text,145,30,177,37
ti11492463_2465.jpg,224,224,text,11,66,95,78
ti11492463_2465.jpg,224,224,text,144,58,184,63
ti11492463_2465.jpg,224,224,text,144,63,175,69
ti11492463_2465.jpg,224,224,text,131,81,150,86
ti12590148.jpg,224,224,table,53,63,162,118
ti12590148.jpg,224,224,text,33,36,163,48
ti12590148.jpg,224,224,text,45,133,171,144
ti14861145.jpg,224,224,table,42,81,185,110
ti14861145.jpg,224,224,text,43,93,85,96
ti14861145.jpg,224,224,text,167,86,181,90
ti14861145.jpg,224,224,text,167,93,183,95
ti14861145.jpg,224,224,text,167,98,182,102
ti14861145.jpg,224,224,text,171,105,182,108
ti14940065.jpg,224,224,table,22,69,199,182
ti14940067.jpg,224,224,table,72,35,145,172
ti14940106.jpg,224,224,table,20,69,201,185
ti14940106.jpg,224,224,text,83,118,140,122
ti14940106.jpg,224,224,text,28,126,52,528
ti14940106.jpg,224,224,text,62,126,81,132
ti14940106.jpg,224,224,text,90,126,106,132
ti14940106.jpg,224,224,text,127,128,152,133
ti14940106.jpg,224,224,text,174,130,191,133
ti14940106.jpg,224,224,text,25,80,41,83
ti14940106.jpg,224,224,text,24,101,52,105
ti15149006_9007.jpg,224,224,table,73,70,155,75
ti15149006_9007.jpg,224,224,text,25,91,168,99
ti15149006_9007.jpg,224,224,text,26,63,104,81
ti15149006_9007.jpg,224,224,text,29,108,47,118
ti15149006_9007.jpg,224,224,text,55,108,75,115
ti15149006_9007.jpg,224,224,text,82,108,100,115
ti15149006_9007.jpg,224,224,text,112,111,146,115
ti15149006_9007.jpg,224,224,text,166,118,181,122
ti15149006_9007.jpg,224,224,text,170,111,189,115
ti15149006_9007.jpg,224,224,text,71,56,119,59
ti15269213_9214.jpg,224,224,text,39,47,83,60
ti15269213_9214.jpg,224,224,table,33,101,204,137
ti15269213_9214.jpg,224,224,text,33,148,203,189
ti15269213_9214.jpg,224,224,text,94,94,138,97
ti15269213_9214.jpg,224,224,text,56,79,175,87
ti15269213_9214.jpg,224,224,text,73,70,155,75
ti15269213_9214.jpg,224,224,text,33,108,56,112
ti15269213_9214.jpg,224,224,text,36,172,125,177
ti15269213_9214.jpg,224,224,text,180,132,203,136
ti15269213_9214.jpg,224,224,text,179,185,203,189
ti15269213_9214.jpg,224,224,text,181,101,203,104
ti15269213_9214.jpg,224,224,text,151,59,205,63
ti15269213_9214.jpg,224,224,text,17,52,72,57
ti15269213_9214.jpg,224,224,text,191,155,215,159
ti15269402.jpg,224,224,table,31,88,202,118
ti15269402.jpg,224,224,table,31,126,201,153
ti15269402.jpg,224,224,table,31,159,201,174
ti15269402.jpg,224,224,text,85,84,137,88
ti15269402.jpg,224,224,text,68,121,152,124
ti15269402.jpg,224,224,text,87,155,135,159
ti15269402.jpg,224,224,text,32,179,63,183
